District,candidate,Party,loan_amount,loan_date,payment_amount,payment_date,loan_balance,filed_date
Senate District 20,"Walsh, Tim",Republican,200000,2/15/22 0:00,,,10000,5/2/22 0:00
Senate District 20,"Walsh, Tim",Republican,200000,2/15/22 0:00,190000,3/31/22 0:00,10000,5/2/22 0:00
House District 43,"Huffman, Kurt",Republican,50000,8/24/21 0:00,,,50000,11/2/21 0:00
House District 43,"Huffman, Kurt",Republican,50000,4/14/22 0:00,,,50000,4/27/22 0:00
Secretary of State,"O'Donnell, Francis",Republican,50000,12/14/21 0:00,,,50000,1/16/22 0:00
Governor,"Ganahl, Heidi",Republican,50000,9/14/21 0:00,,,50000,10/15/21 0:00
House District 45,"Frizell, Lisa",Republican,40000,1/18/22 0:00,,,40000,5/2/22 0:00
House District 44,"Hartsook, Anthony",Republican,20000,1/11/22 0:00,,,20000,5/1/22 0:00
House District 45,"Frizell, Lisa",Republican,20000,3/14/22 0:00,,,20000,5/2/22 0:00
House District 57,"Buerger, Cole",Democratic,10500,3/22/22 0:00,,,10500,5/2/22 0:00
House District 14,"Sandridge, Shane",Republican,10000,9/30/21 0:00,,,10000,10/11/21 0:00
Senate District 27,"Shepherd Macklin, Juliemarie",Republican,7738,4/25/22 0:00,,,7738,5/2/22 0:00
House District 34,"Allen, Kevin",Republican,7000,1/19/22 0:00,,,7000,5/2/22 0:00
House District 21,"Bradfield, Mary",Republican,6000,1/7/22 0:00,,,6000,5/2/22 0:00
House District 21,"Bradfield, Mary",Republican,6000,12/10/21 0:00,,,6000,1/18/22 0:00
House District 24,"Patterson, William",Republican,5066.13,4/26/22 0:00,,,5066.13,5/2/22 0:00
House District 21,"Dent, Karl",Republican,5000,4/5/22 0:00,,,5000,4/29/22 0:00
House District 44,"Dodd, Terry",Republican,5000,4/27/22 0:00,,,5000,5/2/22 0:00
House District 52,"Vicino, Deborah",Republican,5000,2/2/22 0:00,,,5000,5/1/22 0:00
House District 55,"Weber, Patricia",Republican,5000,4/11/22 0:00,,,5000,5/2/22 0:00
House District 55,"Weber, Patricia",Republican,5000,12/28/21 0:00,,,5000,1/7/22 0:00
Senate District 11,"Avila, Yolanda",Democratic,5000,11/22/21 0:00,,,5000,1/3/22 0:00
Secretary of State,"Anderson, Pam",Republican,5000,10/21/21 0:00,,,5000,1/18/22 0:00
Secretary of State,"Anderson, Pam",Republican,5000,12/9/21 0:00,,,5000,1/18/22 0:00
Secretary of State,"Peters, Tina",Republican,5000,2/25/22 0:00,,,0,5/3/22 0:00
Secretary of State,"Peters, Tina",Republican,5000,2/25/22 0:00,5000,3/16/22 0:00,0,5/3/22 0:00
House District 17,"Stovall, Rachel",Republican,4995,11/3/21 0:00,,,4995,1/14/22 0:00
Senate District 08,"Solomon, Matt",Republican,4507.33,3/1/22 0:00,,,4507.33,5/1/22 0:00
House District 16,"Vigil, Stephanie",Democratic,4500,4/14/22 0:00,,,4500,5/2/22 0:00
House District 57,"Buerger, Cole",Democratic,4124.05,4/27/22 0:00,2800,4/27/22 0:00,1324.05,5/2/22 0:00
House District 57,"Buerger, Cole",Democratic,4124.05,4/27/22 0:00,,,1324.05,5/2/22 0:00
Senate District 22,"Danielson, Jessie",Democratic,4000,1/13/19 0:00,4000,10/29/20 0:00,0,1/15/21 0:00
Senate District 08,"Solomon, Matt",Republican,3847.52,1/22/22 0:00,,,3847.52,5/1/22 0:00
House District 12,"Bernett, Tracey",Democratic,3000,10/18/21 0:00,,,3000,1/12/22 0:00
House District 12,"Bernett, Tracey",Democratic,3000,11/15/21 0:00,,,3000,1/12/22 0:00
House District 12,"Bernett, Tracey",Democratic,3000,12/3/21 0:00,,,3000,1/12/22 0:00
House District 36,"Walters, William",Republican,3000,3/1/22 0:00,,,3000,5/2/22 0:00
House District 18,"Snyder, Marc",Democratic,2500,12/12/18 0:00,2500,1/20/21 0:00,0,4/11/21 0:00
House District 46,"Ambler, Jonathan",Republican,2500,11/30/21 0:00,,,2500,1/14/22 0:00
House District 44,"Dodd, Terry",Republican,1940.03,4/7/22 0:00,,,1940.03,5/2/22 0:00
Senate District 08,"Solomon, Matt",Republican,1808.86,4/1/22 0:00,,,1808.86,5/1/22 0:00
House District 53,"Boesenecker, Andrew",Democratic,1500,12/14/20 0:00,1500,5/16/21 0:00,0,7/15/21 0:00
House District 53,"Boesenecker, Andrew",Democratic,1500,12/14/20 0:00,,,0,4/15/21 0:00
House District 61,"Woolever, Dave",Republican,1500,2/8/22 0:00,,,1500,4/29/22 0:00
House District 63,"Vance, Jessie",Republican,1193.99,3/31/22 0:00,,,1193.99,5/2/22 0:00
Secretary of State,"O'Donnell, Francis",Republican,1092.74,4/27/22 0:00,,,1092.74,5/2/22 0:00
House District 14,"Rogers, Rob",Democratic,1000,2/2/22 0:00,,,1000,4/29/22 0:00
House District 18,"Snyder, Marc",Democratic,1000,12/1/18 0:00,1000,1/20/21 0:00,0,4/11/21 0:00
House District 18,"Snyder, Marc",Democratic,1000,12/29/17 0:00,500,1/20/21 0:00,500,4/11/21 0:00
House District 45,"Jack, William (Bill)",Republican,1000,10/12/21 0:00,,,1000,1/18/22 0:00
House District 45,"Martinez, Ruby",Democratic,1000,2/22/22 0:00,,,1000,4/29/22 0:00
House District 47,"Winter, Ty",Republican,1000,1/29/22 0:00,,,1000,4/28/22 0:00
House District 47,"Winter, Ty",Republican,1000,12/11/21 0:00,,,1000,1/4/22 0:00
House District 48,"Evans, Gabe",Republican,1000,12/9/21 0:00,,,1000,1/4/22 0:00
Senate District 09,"Dougherty, Arik",Democratic,1000,4/4/22 0:00,,,1000,4/29/22 0:00
CU Regent District 08,"Rinard, Eric",Republican,1000,3/28/22 0:00,,,1000,5/2/22 0:00
House District 23,"Clifford, Fred",Republican,800,1/25/22 0:00,,,800,5/2/22 0:00
House District 11,"Mccormick, Karen",Democratic,743.05,4/27/22 0:00,,,743.05,5/1/22 0:00
House District 63,"Vance, Jessie",Republican,713.5,2/17/22 0:00,,,713.5,5/2/22 0:00
House District 21,"Dent, Karl",Republican,600,2/26/22 0:00,,,600,4/29/22 0:00
House District 61,"Woolever, Dave",Republican,600,4/20/22 0:00,,,600,4/29/22 0:00
House District 63,"Vance, Jessie",Republican,560.43,2/28/22 0:00,,,560.43,5/2/22 0:00
House District 63,"Vance, Jessie",Republican,520,10/12/21 0:00,,,520,1/18/22 0:00
House District 18,"Snyder, Marc",Democratic,500,11/9/17 0:00,500,1/20/21 0:00,0,4/11/21 0:00
House District 24,"Patterson, William",Republican,500,3/22/22 0:00,,,500,5/2/22 0:00
House District 25,"Larson, Colin",Republican,500,1/26/21 0:00,,,500,4/15/21 0:00
House District 44,"Dodd, Terry",Republican,500,1/6/22 0:00,,,500,5/2/22 0:00
Senate District 15,"Marchman, Janice",Democratic,500,11/13/21 0:00,,,100,1/18/22 0:00
Senate District 15,"Marchman, Janice",Democratic,500,11/13/21 0:00,400,12/31/21 0:00,100,1/18/22 0:00
CU Regent District 08,"Vandriel, Mark",Republican,500,3/1/22 0:00,,,500,5/1/22 0:00
House District 44,"Dodd, Terry",Republican,480.38,3/16/22 0:00,,,480.38,5/2/22 0:00
House District 46,"Ambler, Jonathan",Republican,285.05,4/15/22 0:00,,,285.05,4/30/22 0:00
House District 63,"Vance, Jessie",Republican,278.46,1/31/22 0:00,,,278.46,5/2/22 0:00
House District 34,"Allen, Kevin",Republican,250,2/9/22 0:00,,,250,5/2/22 0:00
House District 63,"Vance, Jessie",Republican,226.24,12/31/21 0:00,,,226.24,1/18/22 0:00
House District 44,"Dodd, Terry",Republican,200,4/21/22 0:00,,,200,5/2/22 0:00
House District 63,"Vance, Jessie",Republican,187.88,11/30/21 0:00,,,187.88,1/18/22 0:00
House District 63,"Vance, Jessie",Republican,94.08,10/31/21 0:00,,,94.08,1/18/22 0:00
House District 63,"Vance, Jessie",Republican,58.24,11/30/21 0:00,,,58.24,1/18/22 0:00
House District 61,"Woolever, Dave",Republican,50,4/8/22 0:00,,,50,4/29/22 0:00
House District 63,"Vance, Jessie",Republican,10.95,12/2/21 0:00,,,10.95,1/18/22 0:00
House District 24,"Patterson, William",Republican,5,3/25/22 0:00,,,5,5/2/22 0:00
BD. ED. DISTRICT 08,"Solis, Rhonda",Democratic,5,3/4/22 0:00,,,5,5/2/22 0:00
Senate District 11,"Avila, Yolanda",Democratic,-5000,11/22/21 0:00,,,-5000,5/2/22 0:00
Governor,"Ganahl, Heidi",Republican,-50000,9/14/21 0:00,,,-50000,1/8/22 0:00